,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
2180,2180,"2 Bedroom at The Beautiful Cameron  616 W Walnut Ln, (Roxb",1375,,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-at-the-beautiful/7275932298.html,2.0, (Roxborough),2021-02-16 20:47, 1Ba,2BR ,40.032349,-75.190584,both pets,in unit,off-street,wood,multi,nan
2181,2181,"UP TO TWO MONTHS FREE!! - Studio w/Loft, AC and Laundry in Unit",1195,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-up-to-two-months-free/7270979964.html,, (Queen Village),2021-02-16 20:28, 1Ba,0BR ,39.940178,-75.147876,both pets,in unit,proctected,nan,multi,nan
2182,2182,"Full Basement, W/D Hook Ups , Upgraded Eat-In Kitchen",1000,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-full-basement-d-hook-ups/7278509400.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-16 20:25, 1Ba,1BR ,40.03458,-75.073844,both pets,no laundry,proctected,nan,multi,nan
2183,2183,"Oversized Closets, 9' Ceilings w/ Crown Molding, Disability Access",1620,836.0,https://philadelphia.craigslist.org/apa/d/west-chester-oversized-closets-ceilings/7275713548.html,1.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-16 20:23, 1Ba,1BR ,39.929855,-75.582336,both pets,in unit,off-street,nan,multi,no smoking
2184,2184,2 Bedroom 2 Bath in the Heart of Northern Libs,1650,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-bath-in-the-heart/7268270225.html,2.0, (Northern Liberties),2021-02-16 20:11, 2Ba,2BR ,39.964385,-75.140652,cats,in unit,no,wood,multi,no smoking
2185,2185,THIS GRACIOUS & SPACIOUS 1 bedroom apartment,1595,635.0,https://philadelphia.craigslist.org/apa/d/philadelphia-this-gracious-spacious/7274288120.html,1.0, (LOGAN SQUARE),2021-02-16 20:06, 1Ba,1BR ,39.955394,-75.171134,both pets,no laundry,off-street,wood,multi,nan
2186,2186,Gorgeous house - available for Rent on 4/30,1520,1550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-gorgeous-house-available/7278506146.html,3.0, (Point Breeze),2021-02-16 20:05, 2Ba,3BR ,39.9335,-75.1818,no pet,in unit,no,wood,single,nan
2187,2187,*QueenVillage Luxury 2BR 2Bath Huge Roof Deck! G/H C/A D/W G/D NoPets*,1595,1600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-queenvillage-luxury-2br/7278502655.html,2.0, (Queen Village - S. 2nd/Fitzwater St),2021-02-16 20:00, 2Ba,2BR ,39.938205,-75.14657,no pet,on site,no,nan,multi,no smoking
2188,2188,Move in quickly! Sunny open-concept 2 bed 1 bath apt in West Powelton!,1150,,https://philadelphia.craigslist.org/apa/d/philadelphia-move-in-quickly-sunny-open/7278458287.html,2.0, (4034 Baring St> Drexel> UPenn > West Powelton),2021-02-16 19:54, 1Ba,2BR ,39.960406,-75.202101,cats,on site,no,wood,multi,no smoking
2189,2189,Cozy 1 bedroom available now at 3412 Spring garden!,1040,,https://philadelphia.craigslist.org/apa/d/philadelphia-cozy-bedroom-available-now/7278463951.html,1.0, (University city),2021-02-16 19:54, 1Ba,1BR ,39.9597,-75.2024,both pets,on site,no,wood,multi,nan
2190,2190,(1) Newly Renovated 3 bedroom Home for rent available,1300,,https://philadelphia.craigslist.org/apa/d/philadelphia-newly-renovated-bedroom/7278465109.html,3.0, (Philadelphia),2021-02-16 19:53, 1Ba,3BR ,40.000728,-75.150962,no pet,no laundry,no,nan,single,nan
