,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
1507,Three Bedroom Apartment in Brownstone House,2350.0,950.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-three-bedroom-apartment-in/7278005042.html,3.0," (Sunset Park, Broolyn)",2021-02-15 18:39,1.0,40.6412,-74.0133,no pet,no laundry,no,multi
1508,Huge 4 Bed Kingsbridge,2600.0,1235.952380952381,https://newyork.craigslist.org/brx/apa/d/bronx-huge-bed-kingsbridge/7278004613.html,4.0, (Bronx),2021-02-15 18:38,1.0,40.8662,-73.9003,no pet,no laundry,no,multi
1509,FULLY FURNISHED ONE BEDROOM APT,1000.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-fully-furnished-one-bedroom-apt/7278002724.html,1.0," (3145 Brighton 4th st, Brooklyn, NY)",2021-02-15 18:33,1.0,40.5839,-73.9536,both pets,in unit,off-street,multi
1510,NoFEE*CAT Ok!FreeParking*FreeUtils*Washer/Dry*Garden*1stFloor*Windows*,1500.0,717.6746411483253,https://newyork.craigslist.org/que/apa/d/college-point-nofeecat/7278000219.html,1.0, (Whitestone ** College Point),2021-02-15 18:32,1.0,40.7855,-73.845,cats,on site,off-street,multi
1511,West 57th St - ROOM FOR RENT in a flex 3 - 3 FREE MONTHS - NO FEE,1204.0,1103.2173913043478,https://newyork.craigslist.org/mnh/apa/d/new-york-west-57th-st-room-for-rent-in/7278001621.html,3.0, (Midtown West),2021-02-15 18:31,2.0,40.77037,-73.99219,both pets,in unit,proctected,multi
1512,Huge Sunny 1BR For Rent,2800.0,770.0,https://newyork.craigslist.org/que/apa/d/long-island-city-huge-sunny-1br-for-rent/7278000807.html,1.0, (Long Island City),2021-02-15 18:29,1.0,40.743713,-73.950884,both pets,in unit,proctected,multi
1513,Nice home,3000.0,2090.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-nice-home/7277999949.html,3.0, (Brooklyn),2021-02-15 18:27,1.5,40.617,-74.013,no pet,no laundry,no,multi
1514,3 bedroom apartment for rent hardwood floors,1950.0,1100.0,https://newyork.craigslist.org/wch/apa/d/mount-vernon-bedroom-apartment-for-rent/7277998478.html,3.0, (mount vernon),2021-02-15 18:24,1.0,40.9079,-73.838,no pet,no laundry,no,multi
1515,See you at your new home!! 1 Bedroom Apartment Available NOW!!,1300.0,750.0,https://newyork.craigslist.org/fct/apa/d/norwalk-see-you-at-your-new-home/7277998441.html,1.0, (Norwalk),2021-02-15 18:23,1.0,41.0957,-73.4285,both pets,on site,off-street,multi
1516,"Furnished 1BR In Horatio St, Manhattan",1000.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-furnished-1br-in-horatio-st/7277997563.html,1.0, (Downtown),2021-02-15 18:21,1.0,40.738757,-74.007471,both pets,in unit,off-street,multi
1517,"large 2 bedrooms on the first floor, with washer/Dryer and Park",2400.0,922.3730569948186,https://newyork.craigslist.org/que/apa/d/astoria-large-bedrooms-on-the-first/7277997365.html,2.0, (Astoria),2021-02-15 18:21,1.0,40.764644,-73.91659,no pet,in unit,protected,multi
1519,3 bedroom hardwood floors updated bathroom,1975.0,1100.0,https://newyork.craigslist.org/wch/apa/d/yonkers-bedroom-hardwood-floors-updated/7277997261.html,3.0, (YONKERS),2021-02-15 18:21,1.0,40.9461,-73.8669,no pet,no laundry,no,multi
