,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
77,"On-Site Maintenance, 24/7 Emergency Maintenance, Laundry On SIte",1025.0,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-on-site-maintenance-24/7278375509.html,2.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 15:54,1.0,40.038971,-75.149988,cats,on site,proctected,multi
79,Washington Square West Unit-5,1150.0,450.0,https://philadelphia.craigslist.org/apa/d/philadelphia-washington-square-west/7276346694.html,1.0, (1126 Spruce Street),2021-02-18 15:54,1.0,39.946887,-75.160851,both pets,on site,no,multi
80,"Swimming Pool, Grills, and Gym Are All Here!",3567.0,1538.0,https://philadelphia.craigslist.org/apa/d/west-chester-swimming-pool-grills-and/7279333892.html,3.0, (West Chester),2021-02-18 15:54,2.0,39.9441,-75.5882,both pets,in unit,proctected,multi
81,1806 Green Street Unit-102,1760.0,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-1806-green-street-unit-102/7277175456.html,2.0, (1806 Green Street),2021-02-18 15:53,2.0,39.964898,-75.167181,both pets,in unit,no,multi
83,Beautiful Updated 1Br in Amazing Washington Square Location!!,1500.0,850.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-updated-1br-in/7279345757.html,1.0, (Washington Square / Center City),2021-02-18 15:53,1.0,39.946595,-75.161646,both pets,in unit,no,multi
84,Feeling Lucky? 🎰🎰 Click Here,2145.0,656.0,https://philadelphia.craigslist.org/apa/d/philadelphia-feeling-lucky-click-here/7279347864.html,1.0, (1050 N Hancock St - Northern Liberties),2021-02-18 15:53,1.0,39.969515,-75.139578,both pets,in unit,no,multi
85,Beautiful huge Studio loft in Prime Location! Washer/Dryer!,1200.0,650.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-huge-studio-loft/7279345852.html,1.0, (Washington Square/ Center City),2021-02-18 15:50,1.0,39.94657,-75.16145,both pets,in unit,no,multi
86,Beautiful Apt In Great Center City Location!,1175.0,550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-apt-in-great/7279349415.html,1.0, (Center City),2021-02-18 15:49,1.0,39.952095,-75.173828,both pets,on site,no,multi
87,Renovated Studio in great location in Fairmount-Art Museum!,1000.0,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-studio-in-great/7279349386.html,0.0, (Fairmount-Art Museum),2021-02-18 15:49,1.0,39.966166,-75.163949,both pets,in unit,no,multi
88,Beautiful Studio in Great Location!!!,995.0,500.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-studio-in-great/7279349350.html,0.0, (UPENN/ University City),2021-02-18 15:49,1.0,39.955376,-75.206511,no pet,in unit,no,multi
89,"On Site Management, Eat in Kitchen, Hardwood Flooring",895.0,706.0,https://philadelphia.craigslist.org/apa/d/philadelphia-on-site-management-eat-in/7279345369.html,1.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 15:47,1.0,40.038971,-75.149988,cats,on site,proctected,multi
90,"Private Entrance, Cable Ready, Full Basement",940.0,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-private-entrance-cable/7279335308.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-18 15:43,1.0,40.03458,-75.073844,both pets,no laundry,proctected,multi
91,Great Location & First Class Amenities!,2129.0,780.0,https://philadelphia.craigslist.org/apa/d/philadelphia-great-location-first-class/7279341444.html,1.0, (Philadelphia),2021-02-18 15:39,1.0,39.958523,-75.165587,both pets,in unit,proctected,multi
92,"LAST ONE! W/D, Pool, 2 Gyms, PET FRDNLY, AC, PATIO, Dog Prk",1345.0,650.0,https://philadelphia.craigslist.org/apa/d/west-chester-last-one-d-pool-gyms-pet/7269668094.html,1.0, (West Chester),2021-02-18 15:33,1.0,39.9441,-75.5882,both pets,in unit,off-street,multi
93,Private Room for rent in 2 bedroom Fishtown apartment,1025.0,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-private-room-for-rent-in/7276450455.html,1.0, (Philadelphia),2021-02-18 15:30,1.5,39.969,-75.1337,no pet,in unit,no,multi
94,Beautiful unique bi-level apt with outdoor space (Northern Liberties),1250.0,859.3345070422536,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-unique-bi-level/7277111330.html,1.0, (Northern Liberties),2021-02-18 15:26,1.0,39.96567,-75.144002,dogs,on site,no,multi
95,"Beautiful 2br apt.  Laundry, Central Air, outdoor space",1300.0,1077.385775862069,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-2br-apt-laundry/7274530721.html,2.0, (Fishtown),2021-02-18 15:26,1.0,39.981383,-75.127579,dogs,on site,no,multi
96,"Fitness Center, Parking Garage, Central Heating and Cooling",3361.0,1077.385775862069,https://philadelphia.craigslist.org/apa/d/philadelphia-fitness-center-parking/7279335343.html,2.0, (Philadelphia),2021-02-18 15:24,2.0,39.9597,-75.2024,no pet,in unit,no,multi
97,"Wireless & High Speed Internet Access, Valet Trash, Garbage disposal",1650.0,836.0,https://philadelphia.craigslist.org/apa/d/west-chester-wireless-high-speed/7279327250.html,1.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-18 15:24,1.0,39.929855,-75.582336,both pets,in unit,off-street,multi
98,Manayunk - 5 Bedrooms parking,3200.0,4500.0,https://philadelphia.craigslist.org/apa/d/philadelphia-manayunk-bedrooms-parking/7269314730.html,5.0, (Manayunk),2021-02-18 15:15,3.0,40.029601,-75.22581,no pet,in unit,protected,single
99,"In-Unit Laundry, Controlled Access, Dishwasher",1780.0,477.0,https://philadelphia.craigslist.org/apa/d/philadelphia-in-unit-laundry-controlled/7271738523.html,1.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 15:15,1.0,39.954424,-75.163215,both pets,in unit,no,multi
100,Ready to move,1100.0,859.3345070422536,https://philadelphia.craigslist.org/apa/d/abington-ready-to-move/7277888641.html,1.0, (Philly and surrounding burbs),2021-02-18 15:14,1.0,40.1238,-75.1148,no pet,on site,no,multi
101,"SPECIAL! Reduced Rent! W/D, SS Appliances, Brkfst Bar, & Elevator BLD!",1499.0,935.0,https://philadelphia.craigslist.org/apa/d/west-chester-special-reduced-rent-d-ss/7279321366.html,2.0, (West Chester),2021-02-18 15:14,1.5,39.966777,-75.602417,both pets,in unit,off-street,multi
102,"N Orkney St, Charismatic 2 Bedroom/ 2 Bath Townhouse For Rent",778.0,927.0,https://philadelphia.craigslist.org/apa/d/philadelphia-orkney-st-charismatic/7276044716.html,2.0," (Philadelphia, PA)",2021-02-18 15:13,2.0,39.966,-75.151,no pet,in unit,no,single
103,"Pennsylvania Ave APT 504, APPEALING CONDO FOR RENT",677.0,805.0,https://philadelphia.craigslist.org/apa/d/philadelphia-pennsylvania-ave-apt-504/7276039785.html,1.0," (Philadelphia, PA)",2021-02-18 15:13,1.0,39.9677,-75.1735,no pet,on site,no,multi
104,"Brown St #3, Stunning 2 BR 1 BA Condo For Rent",726.0,888.0,https://philadelphia.craigslist.org/apa/d/philadelphia-brown-st-stunning-br-ba/7276042217.html,2.0," (Philadelphia, PA)",2021-02-18 15:13,1.0,39.9677,-75.1735,no pet,in unit,no,multi
105,Do NOT RENT AT BRITH SHOLOM,800.0,859.3345070422536,https://philadelphia.craigslist.org/apa/d/philadelphia-do-not-rent-at-brith-sholom/7279301997.html,1.0, (PHILADELPHIA),2021-02-18 15:10,1.0,39.9845,-75.2282,no pet,on site,off-street,multi
107,"CLOSE TO AMENITIES, CENTRAL HEATING AND AIR, VIDEO SURVEILLANCE",1472.0,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-close-to-amenities-central/7275950892.html,2.0, (Washington Square West),2021-02-18 15:08,1.0,39.94516,-75.158119,cats,on site,no,multi
109,"Hardwood Flooring, Pets Accepted, Fitness Center/Gym",1000.0,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-hardwood-flooring-pets/7279313322.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-18 15:00,1.0,40.03458,-75.073844,both pets,no laundry,proctected,multi
112,"☃️PETS, W/D, Patio/Two-Entries, D/W, Gym Open☃️",1345.0,720.0,https://philadelphia.craigslist.org/apa/d/west-chester-pets-d-patio-two-entries-w/7279318294.html,1.0, (Near downtown West Chester),2021-02-18 14:56,1.0,39.96915,-75.561175,both pets,in unit,off-street,multi
113,Studio Apartment,1650.0,859.3345070422536,https://philadelphia.craigslist.org/apa/d/plymouth-meeting-studio-apartment/7279316930.html,1.0, (Plymouth Meeting),2021-02-18 14:54,1.0,40.1077,-75.2796,both pets,on site,off-street,multi
114,Junior 1BR apartment with ALL UTILITIES INCLUDED!,1295.0,350.0,https://philadelphia.craigslist.org/apa/d/philadelphia-junior-1br-apartment-with/7279315479.html,1.0, (17th and Lombard st),2021-02-18 14:52,1.0,39.945306,-75.170429,cats,on site,no,multi
115,"Self-Cleaning Oven, Business Center with Private Work Stations",1999.0,1199.0,https://philadelphia.craigslist.org/apa/d/west-chester-self-cleaning-oven/7279309943.html,2.0, (West Chester),2021-02-18 14:48,2.0,39.9441,-75.5882,both pets,in unit,proctected,multi
116,Fabulous 2 Bedroom 2.5 Bath townhome,1920.0,1310.0,https://philadelphia.craigslist.org/apa/d/exton-fabulous-bedroom-25-bath-townhome/7279309639.html,2.0," (Exton, Downingtown, West Chester)",2021-02-18 14:42,2.5,40.0468,-75.6432,cats,in unit,off-street,single
117,"YARDLEY, PA - 2 Bedroom",1500.0,1077.385775862069,https://philadelphia.craigslist.org/apa/d/langhorne-yardley-pa-bedroom/7279308741.html,2.0," (Heacock Meadows-Lower Makefield, PA)",2021-02-18 14:41,2.0,40.215718,-74.871343,no pet,in unit,proctected,multi
118,"Keyless Entry, Walk-In Shower, Large Closet",1780.0,477.0,https://philadelphia.craigslist.org/apa/d/philadelphia-keyless-entry-walk-in/7278335895.html,1.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 14:39,1.0,39.954424,-75.163215,both pets,in unit,no,multi
119,"24-hour Fitness Center, Oversized Closets, Cable Ready",1515.0,754.0,https://philadelphia.craigslist.org/apa/d/west-chester-24-hour-fitness-center/7279294976.html,1.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-18 14:38,1.0,39.929855,-75.582336,both pets,in unit,off-street,multi
120,"Cable Ready, Oversized Bedrooms, Laundry in Building",1025.0,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-cable-ready-oversized/7279302327.html,2.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 14:35,1.0,40.038971,-75.149988,cats,on site,proctected,multi
121,"Private Entrance, Upgraded Eat-In Kitchen, Full Basement",1000.0,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-private-entrance-upgraded/7278334444.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-18 14:34,1.0,40.03458,-75.073844,both pets,no laundry,proctected,multi
122,"THE BUILDING HAS A HISTORIC BROWNSTONE EXTERIOR, GRANDIOSE INTERIOR",1430.0,675.0,https://philadelphia.craigslist.org/apa/d/philadelphia-the-building-has-historic/7276952123.html,1.0, (1827-31 PINE ST #105R),2021-02-18 14:32,1.0,39.9513,-75.1741,both pets,in unit,no,multi
124,THIS UNIT HAS ONE LARGE BEDROOM AND ONE BATHROOM,1400.0,725.0,https://philadelphia.craigslist.org/apa/d/philadelphia-this-unit-has-one-large/7276947247.html,1.0, (2601 PENNSYLVANIA AVE #1029),2021-02-18 14:32,1.0,39.9677,-75.1735,no pet,on site,no,multi
125,"CHECK OUT THIS MUST SEE 2 BEDROOM, 2 BATH APARTMENT WITH AMAZING URBAN",2315.0,1038.0,https://philadelphia.craigslist.org/apa/d/philadelphia-check-out-this-must-see/7274451722.html,2.0, (234 N COLUMBUS BLVD #402),2021-02-18 14:32,2.0,39.9474,-75.1473,both pets,in unit,no,multi
